"","Producto","Precio"
"1","
			Msi Geforce Gtx 1660 Super Gaming X 6gb Gdrr6		","$457.551"
"2","
			Tarjeta de Video AORUS RTX 3060 ELITE 12GB GDDR6 RGB		","$855.591"
"3","
			Tarjeta De Video Asus 1050 Ti Advanced Cerberus Edition 4gb		","$329.211"
"4","
			Tarjeta De Video Asus Gt 1030 2gb Gddr5 Oc Hdmi Dvi Phoenix		","$139.491"
"5","
			Tarjeta De Video Asus Gt 1030 2gb Gddr5 Oc Hdmi Dvi Sin Caja		","$129.261"
"6","
			Tarjeta de Video Asus GT 710 1GB GDDR5 DVI HDMI VGA		","$48.351"
"7","
			Tarjeta de Video Asus GT1030 2gb GDDR5 DVI HDMI		","$117.171"
"8","
			Tarjeta De Video Asus Gtx 1050ti 4gb Phoenix Gddr5 Dx12		","$319.911"
"9","
			Tarjeta de Video ASUS GTX 1650 Phoenix 4gb GDDR6		","$397.101"
"10","
			Tarjeta de Video ASUS GTX 1660 Super Phoenix 6gb GDDR6		","$494.751"
"11","
			Tarjeta De Video Asus Gtx 1660 Super Phoenix 6gb Gddr6 Oc		","$438.951"
"12","
			Tarjeta de Video ASUS ROG STRIX RTX 3060 RGB 12GB GDDR6		","$1.009.971"
