"","Producto","Precio"
"1","ASROCK B560M PRO4 Socket LGA1200/ Intel B560/ DDR4/ SATA3&USB3.2/ M.2/ Micro ATX Motherboard","141.074 $"
"2","ZOTAC GAMING NVIDIA GeForce GTX 1660 SUPER Twin Fan 6GB GDDR6 HDMI/3DisplayPorts PCI-Express Video Card","517.750 $"
"3","AMD Ryzen 5 2600 Six-Core 3.4GHz Socket AM4","198.550 $"
"4","AMD Ryzen 5 2600X Six-Core 3.6GHz Socket AM4","207.575 $"
"5","Seagate D/S Barracuda 1TB 64mb 7200rpm Sata3 Seagate","37.477 $"
"6","MSI NVIDIA GeForce GT 710 2GB DDR3 VGA/DVI/HDMI Low Profile PCI-Express Video Card","75.998 $"
"7","MSI NVIDIA GeForce GTX 1050 TI OC 4GB GDDR5 DVI/HDMI/DisplayPort PCI-Express Video Card","319.200 $"
"8","ASUS Phoenix NVIDIA GeForce GTX 1650 OC Edition 4GB GDDR6 DVI/HDMI/DisplayPort PCI-Express Gaming Video Card","359.573 $"
"9","ZOTAC ZT-T16600K-10 MINI NVIDIA GeForce GTX 1660 GAMING 6GB GDDR5 HDMI/3DisplayPorts PCI-Express Video Card","472.848 $"
"10","ZOTAC GAMING NVIDIA GeForce GTX 1660 SUPER Twin Fan 6GB GDDR6 HDMI/3DisplayPorts PCI-Express Video Card","517.750 $"
"11","Sapphire Nitro+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 HDMI / Triple DP (11306-01-20G)","883.839 $"
"12","EVGA GeForce RTX 3070 XC3 ULTRA GAMING, 08G-P5-3755-KR, 8GB GDDR6, iCX3 Cooling, ARGB LED, Metal Backplate","959.500 $"
"13","Sapphire NITRO+ AMD Radeon RX 6900 XT SE [11308-03-20G]","1.994.864 $"
"14","MSI GeForce RTX™ 3070 Ti VENTUS 3X 8G OC","1.088.406 $"
"15","SapphirePulse AMD Radeon RX 6800 XT PCIe 4.0  11304-03-20G Tarjeta gráfica para juegos con 16GB GDDR6","1.299.897 $"
